material_name,suggested_sionna_material,confidence,reason,slot_count,object_count,face_count,texture_files,objects_preview
Brick1_rrx_Ground,itu_brick,high,brick visual material,1,1,177,Brick1_Diff.png;Brick1_Norm.png;Brick1_Spec.png,Terrain_Ground_Layer0_2Node
Bricks1_Building,itu_brick,high,brick visual material,2,2,128,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001
Bricks20_Building,itu_brick,high,brick visual material,2,2,12,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001
Bricks7_Building,itu_brick,high,brick visual material,1,1,184,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,mX15m_01_5storey_Interior_mesh_BuildingNode
Bricks7_Prop,itu_brick,high,brick visual material,1,1,176,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx15m_01_5storey_Interior_PropNode
Bricks8_Building,itu_brick,high,brick visual material,3,3,12282,Bricks_Red_Diff.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002
Bricks_Building,itu_brick,high,brick visual material,5,5,20,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004
Bricks_Building_1,itu_brick,high,brick visual material,1,1,382,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode
Bricks_Building_2,itu_brick,high,brick visual material,2,2,4726,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001
Bricks_Building_3,itu_brick,high,brick visual material,2,2,7872,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001
Bricks_Building_4,itu_brick,high,brick visual material,1,1,2390,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode
Bricks_Prop,itu_brick,high,brick visual material,1,1,3542,Bricks_Norm.png;Bricks_Red_Diff.png;Bricks_Spec.png,Downtown_30mx15m_01_5storey0_PropNode
