variant,sample_id,rx_x,rx_y,rx_z,baseline_strongest_power_db,variant_strongest_power_db,delta_power_db_vs_baseline,baseline_total_paths,variant_total_paths,delta_total_paths,baseline_strongest_anchor,variant_strongest_anchor
01_small_low,1,-0.003471627,0.002008343,0.000000000,,,,0,0,0,,
01_small_low,2,60.609748840,-0.002647649,0.000000000,-82.792320365,-82.792320365,0.000000000,5,5,0,BS 4,BS 4
01_small_low,3,56.116195679,49.490306854,0.000000000,,,,0,0,0,,
01_small_low,4,0.670823336,38.179508209,0.000000000,,,,0,0,0,,
01_small_low,5,0.005275927,0.027853508,0.000000000,,,,0,0,0,,
01_small_low,6,0.000117435,0.001863297,0.006773376,,,,0,0,0,,
02_small_medium,1,-0.003471627,0.002008343,0.000000000,,,,0,0,0,,
02_small_medium,2,60.609748840,-0.002647649,0.000000000,-82.792320365,-82.792320365,0.000000000,5,5,0,BS 4,BS 4
02_small_medium,3,56.116195679,49.490306854,0.000000000,,,,0,0,0,,
02_small_medium,4,0.670823336,38.179508209,0.000000000,,,,0,0,0,,
02_small_medium,5,0.005275927,0.027853508,0.000000000,,,,0,0,0,,
02_small_medium,6,0.000117435,0.001863297,0.006773376,,,,0,0,0,,
03_small_high,1,-0.003471627,0.002008343,0.000000000,,,,0,0,0,,
03_small_high,2,60.609748840,-0.002647649,0.000000000,-82.792320365,-82.792320365,0.000000000,5,5,0,BS 4,BS 4
03_small_high,3,56.116195679,49.490306854,0.000000000,,,,0,0,0,,
03_small_high,4,0.670823336,38.179508209,0.000000000,,,,0,0,0,,
03_small_high,5,0.005275927,0.027853508,0.000000000,,,,0,0,0,,
03_small_high,6,0.000117435,0.001863297,0.006773376,,,,0,0,0,,
