xml_material_id,english_material_name,chinese_material_name,merged_material_count,merged_english_material_names,merged_xml_material_ids,current_xml_radio_type,review_status,needs_custom_parameters,target_sionna_material_type,relative_permittivity_epsilon_r,conductivity_s_per_m,thickness_m,scattering_coefficient_0_to_1,xpd_coefficient_0_to_1,scattering_pattern,color_rgb,parameter_reference,confidence,notes
mat-itu_concrete__src_AnotherInteriorGlow_Building,AnotherInteriorGlow_Building,建筑 + 室内发光材质 + 另一种室内发光材质,1,AnotherInteriorGlow_Building,mat-itu_concrete__src_AnotherInteriorGlow_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.450000 0.480000 0.320000,,,
mat-itu_wood__src_Birch01_Trunk_Prop,Birch01_Trunk_Prop,道具/小物件 + 树干,1,Birch01_Trunk_Prop,mat-itu_wood__src_Birch01_Trunk_Prop,wood,confirmed_from_source_name,no_if_itu_preset_is_accepted,wood,,,,,,lambertian,0.360000 0.230000 0.120000,,,
mat-itu_brick__src_Brick1_rrx_Ground,Brick1_rrx_Ground,地面 + 砖,1,Brick1_rrx_Ground,mat-itu_brick__src_Brick1_rrx_Ground,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks1_Building,Bricks1_Building,建筑 + 砖,1,Bricks1_Building,mat-itu_brick__src_Bricks1_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks20_Building,Bricks20_Building,建筑 + 砖,1,Bricks20_Building,mat-itu_brick__src_Bricks20_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks7_Building,Bricks7_Building,建筑 + 砖,1,Bricks7_Building,mat-itu_brick__src_Bricks7_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks8_Building,Bricks8_Building,建筑 + 砖,1,Bricks8_Building,mat-itu_brick__src_Bricks8_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks_Building,Bricks_Building,建筑 + 砖,5,Bricks_Building;Bricks_Building_1;Bricks_Building_2;Bricks_Building_3;Bricks_Building_4,mat-itu_brick__src_Bricks_Building;mat-itu_brick__src_Bricks_Building_1;mat-itu_brick__src_Bricks_Building_2;mat-itu_brick__src_Bricks_Building_3;mat-itu_brick__src_Bricks_Building_4,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks_Prop,Bricks_Prop,道具/小物件 + 砖,1,Bricks_Prop,mat-itu_brick__src_Bricks_Prop,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.500000 0.170000 0.100000,,,
mat-itu_brick__src_Bricks_Tan1_Building,Bricks_Tan1_Building,建筑 + 棕褐砖 + 砖,1,Bricks_Tan1_Building,mat-itu_brick__src_Bricks_Tan1_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.620000 0.480000 0.340000,,,
mat-itu_brick__src_Bricks_Tan2_Building,Bricks_Tan2_Building,建筑 + 棕褐砖 + 砖,1,Bricks_Tan2_Building,mat-itu_brick__src_Bricks_Tan2_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.620000 0.480000 0.340000,,,
mat-itu_brick__src_Bricks_Tan_Building,Bricks_Tan_Building,建筑 + 棕褐砖 + 砖,1,Bricks_Tan_Building,mat-itu_brick__src_Bricks_Tan_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.620000 0.480000 0.340000,,,
mat-itu_brick__src_Bricks_White1_Building,Bricks_White1_Building,建筑 + 白砖 + 砖,1,Bricks_White1_Building,mat-itu_brick__src_Bricks_White1_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.760000 0.720000 0.640000,,,
mat-itu_brick__src_Bricks_White2_Building,Bricks_White2_Building,建筑 + 白砖 + 砖,2,Bricks_White2_Building;Bricks_White2_Building_1,mat-itu_brick__src_Bricks_White2_Building;mat-itu_brick__src_Bricks_White2_Building_1,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.760000 0.720000 0.640000,,,
mat-itu_brick__src_Bricks_White_Building,Bricks_White_Building,建筑 + 白砖 + 砖,1,Bricks_White_Building,mat-itu_brick__src_Bricks_White_Building,brick,confirmed_from_source_name,no_if_itu_preset_is_accepted,brick,,,,,,lambertian,0.760000 0.720000 0.640000,,,
mat-itu_concrete__src_Cement_Prop,Cement_Prop,道具/小物件 + 水泥,1,Cement_Prop,mat-itu_concrete__src_Cement_Prop,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.580000 0.560000 0.520000,,,
mat-itu_concrete__src_Concrete1_Curb,Concrete1_Curb,混凝土,1,Concrete1_Curb,mat-itu_concrete__src_Concrete1_Curb,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.560000 0.550000 0.510000,,,
mat-itu_concrete__src_Concrete1_Ground,Concrete1_Ground,地面 + 混凝土,1,Concrete1_Ground,mat-itu_concrete__src_Concrete1_Ground,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.560000 0.550000 0.510000,,,
mat-itu_concrete__src_Concrete1_Gutter,Concrete1_Gutter,混凝土,1,Concrete1_Gutter,mat-itu_concrete__src_Concrete1_Gutter,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.560000 0.550000 0.510000,,,
mat-itu_concrete__src_Concrete1_Sidewalk,Concrete1_Sidewalk,混凝土,1,Concrete1_Sidewalk,mat-itu_concrete__src_Concrete1_Sidewalk,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.560000 0.550000 0.510000,,,
mat-itu_concrete__src_Concrete_BlueGray1_Building,Concrete_BlueGray1_Building,建筑 + 蓝灰混凝土 + 混凝土,1,Concrete_BlueGray1_Building,mat-itu_concrete__src_Concrete_BlueGray1_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.480000 0.560000 0.620000,,,
mat-itu_concrete__src_Concrete_BlueGray_Building,Concrete_BlueGray_Building,建筑 + 蓝灰混凝土 + 混凝土,2,Concrete_BlueGray_Building;Concrete_BlueGray_Building_1,mat-itu_concrete__src_Concrete_BlueGray_Building;mat-itu_concrete__src_Concrete_BlueGray_Building_1,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.480000 0.560000 0.620000,,,
mat-itu_concrete__src_Concrete_Brown1_Building,Concrete_Brown1_Building,建筑 + 棕色混凝土 + 混凝土,1,Concrete_Brown1_Building,mat-itu_concrete__src_Concrete_Brown1_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.480000 0.340000 0.250000,,,
mat-itu_concrete__src_Concrete_Brown_Building,Concrete_Brown_Building,建筑 + 棕色混凝土 + 混凝土,1,Concrete_Brown_Building,mat-itu_concrete__src_Concrete_Brown_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.480000 0.340000 0.250000,,,
mat-itu_concrete__src_Concrete_Olive1_Building,Concrete_Olive1_Building,建筑 + 橄榄色混凝土 + 混凝土,1,Concrete_Olive1_Building,mat-itu_concrete__src_Concrete_Olive1_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.450000 0.480000 0.320000,,,
mat-itu_concrete__src_Concrete_Olive2_Building,Concrete_Olive2_Building,建筑 + 橄榄色混凝土 + 混凝土,2,Concrete_Olive2_Building;Concrete_Olive2_Building_1,mat-itu_concrete__src_Concrete_Olive2_Building;mat-itu_concrete__src_Concrete_Olive2_Building_1,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.450000 0.480000 0.320000,,,
mat-itu_concrete__src_Concrete_Olive_Building,Concrete_Olive_Building,建筑 + 橄榄色混凝土 + 混凝土,2,Concrete_Olive_Building;Concrete_Olive_Building_1,mat-itu_concrete__src_Concrete_Olive_Building;mat-itu_concrete__src_Concrete_Olive_Building_1,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.450000 0.480000 0.320000,,,
mat-itu_concrete__src_Concrete_White1_Building,Concrete_White1_Building,建筑 + 白色混凝土 + 混凝土,1,Concrete_White1_Building,mat-itu_concrete__src_Concrete_White1_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White26_Building,Concrete_White26_Building,建筑 + 白色混凝土 + 混凝土,2,Concrete_White26_Building;Concrete_White26_Building_1,mat-itu_concrete__src_Concrete_White26_Building;mat-itu_concrete__src_Concrete_White26_Building_1,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White28_Building,Concrete_White28_Building,建筑 + 白色混凝土 + 混凝土,3,Concrete_White28_Building;Concrete_White28_Building_1;Concrete_White28_Building_2,mat-itu_concrete__src_Concrete_White28_Building;mat-itu_concrete__src_Concrete_White28_Building_1;mat-itu_concrete__src_Concrete_White28_Building_2,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White2_Building,Concrete_White2_Building,建筑 + 白色混凝土 + 混凝土,1,Concrete_White2_Building,mat-itu_concrete__src_Concrete_White2_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White_Building,Concrete_White_Building,建筑 + 白色混凝土 + 混凝土,11,Concrete_White_Building;Concrete_White_Building_1;Concrete_White_Building_10;Concrete_White_Building_2;Concrete_White_Building_3;Concrete_White_Building_4;Concrete_White_Building_5;Concrete_White_Building_6;Concrete_White_Building_7;Concrete_White_Building_8;Concrete_White_Building_9,mat-itu_concrete__src_Concrete_White_Building;mat-itu_concrete__src_Concrete_White_Building_1;mat-itu_concrete__src_Concrete_White_Building_10;mat-itu_concrete__src_Concrete_White_Building_2;mat-itu_concrete__src_Concrete_White_Building_3;mat-itu_concrete__src_Concrete_White_Building_4;mat-itu_concrete__src_Concrete_White_Building_5;mat-itu_concrete__src_Concrete_White_Building_6;mat-itu_concrete__src_Concrete_White_Building_7;mat-itu_concrete__src_Concrete_White_Building_8;mat-itu_concrete__src_Concrete_White_Building_9,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White_Prop,Concrete_White_Prop,道具/小物件 + 白色混凝土 + 混凝土,1,Concrete_White_Prop,mat-itu_concrete__src_Concrete_White_Prop,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White_Trim1_Building,Concrete_White_Trim1_Building,建筑 + 白色混凝土 + 混凝土,1,Concrete_White_Trim1_Building,mat-itu_concrete__src_Concrete_White_Trim1_Building,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
mat-itu_concrete__src_Concrete_White_Trim2_Building,Concrete_White_Trim2_Building,建筑 + 白色混凝土 + 混凝土,2,Concrete_White_Trim2_Building;Concrete_White_Trim2_Building_1,mat-itu_concrete__src_Concrete_White_Trim2_Building;mat-itu_concrete__src_Concrete_White_Trim2_Building_1,concrete,confirmed_from_source_name,no_if_itu_preset_is_accepted,concrete,,,,,,lambertian,0.780000 0.760000 0.700000,,,
